max_species,initial_seed,mutation_seed,generation,species_count,mean_score,dominant_frequency,max_memory_depth,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap
18,7,11,7,18,1.2184694135397924,0.2058441290212037,3,0,0,0,18
18,7,11,8,18,1.1552685292010288,0.21371113458401054,3,0,0,0,18
18,7,11,9,18,1.0928303950684348,0.22503218230308088,3,0,0,0,18
18,7,11,10,18,1.0303073961924783,0.24036856306084007,3,0,0,0,18
18,7,11,11,18,0.9688721021413486,0.26008021336272484,3,0,0,0,18
18,7,11,12,18,0.9100990429588316,0.2840357057114503,3,0,0,0,18
18,7,11,13,18,0.8562551857313471,0.31169513011813054,3,0,0,0,18
18,7,11,14,18,0.8094860605152209,0.3415548025755101,3,0,0,0,18
18,7,11,15,18,0.7715644100208262,0.371495840002645,3,0,0,0,18
18,7,11,16,18,0.7435570428873742,0.3991112401445178,3,0,0,0,18
18,7,11,17,18,0.7253762816455286,0.4216490477666566,3,0,0,0,18
18,7,11,18,18,0.7154695098594298,0.4373340208165936,3,0,0,0,18
18,7,11,19,18,0.7117476632230777,0.4458136331034551,3,0,0,0,18
18,7,11,20,18,0.7120956761950285,0.4478806149265623,3,0,0,0,18
18,7,11,21,18,0.714725199674215,0.4442165295061574,3,0,0,0,18
18,7,11,22,18,0.7181701744230962,0.43673955878464075,3,0,0,0,18
18,7,11,23,18,0.7214394089576093,0.4283805402081076,4,0,0,0,18
18,7,11,24,18,0.7241639876771638,0.4250921087493766,4,0,0,0,18
18,7,11,25,18,0.7261545602012383,0.431851073100122,4,0,0,0,18
18,17,23,1,6,1.3659166666666667,0.31996531862070215,2,0,3,0,0
18,17,23,2,9,0.0,0.35171958284641076,2,0,4,1,0
18,17,23,3,14,0.0,0.3359809558089834,2,0,5,1,3
18,17,23,4,16,0.0,0.3293041083759191,2,0,4,0,12
18,17,23,5,17,0.017747244866765644,0.33094399344618845,2,0,4,0,13
18,17,23,6,17,0.04266808416224013,0.33139195035078057,2,0,2,0,15
18,17,23,7,18,0.06710519522028482,0.3306306633705621,2,0,3,0,14
18,17,23,8,18,0.09449973290170913,0.3291022818464747,2,0,0,0,18
18,17,23,9,18,0.12495016176629792,0.3269506314733146,2,0,0,0,18
18,17,23,10,18,0.15856170703925687,0.3241952574167121,2,0,0,0,18
18,17,23,11,18,0.19556270196777885,0.3208450846317704,2,0,0,0,18
18,17,23,12,18,0.2361918739830426,0.31690015150411876,2,0,0,0,18
18,17,23,13,18,0.28071346403624365,0.3123598273538537,2,0,0,0,18
18,17,23,14,18,0.32942362275308777,0.3072350439753112,2,0,0,0,18
18,17,23,15,18,0.3826454091629357,0.30154826445189277,2,0,0,0,18
18,17,23,16,18,0.4407004558031083,0.2953366703527848,2,0,0,0,18
18,17,23,17,18,0.5038509463464524,0.2886496344038935,2,0,0,0,18
18,17,23,18,18,0.5724027860778865,0.2815473649937066,2,0,0,0,18
18,17,23,19,18,0.6465552622168943,0.27409855711686096,2,0,0,0,18
18,17,23,20,18,0.726445530224731,0.2663828628215816,2,0,0,0,18
18,17,23,21,18,0.8121553111815232,0.258490014434444,2,0,0,0,18
18,17,23,22,18,0.9037474524526947,0.2505174075293073,2,0,0,0,18
18,17,23,23,18,1.0010760579685248,0.2425673401257089,4,0,0,0,18
18,17,23,24,18,1.103749281228766,0.40396551850142246,4,0,0,0,18
18,17,23,25,18,1.1610898972565105,0.4028845621195326,4,3,0,0,15
18,29,31,1,6,1.5044166666666665,0.30939179134314893,2,0,3,0,0
18,29,31,2,6,1.376560379816011,0.3080477162240765,2,0,3,0,0
18,29,31,3,6,1.5514064367862834,0.3329110926369347,2,0,3,0,0
18,29,31,4,10,1.3492951559736068,0.28032600860959857,2,0,6,0,0
18,29,31,5,16,1.2976646275248747,0.2463545251914784,3,0,10,0,0
18,29,31,6,18,1.2254413343237747,0.21191290175836854,3,0,7,0,9
18,29,31,7,18,1.1900800906798905,0.22940726680462098,3,0,1,0,17
18,29,31,8,18,1.165580239265908,0.24310766353015393,3,0,0,0,18
18,29,31,9,18,1.1454920375020223,0.2543959080255801,3,0,0,0,18
18,29,31,10,18,1.1296782290039568,0.26340350919166394,3,0,0,0,18
18,29,31,11,18,1.1175984896446644,0.27073134374273887,3,0,0,0,18
18,29,31,12,18,1.1085112499261143,0.2767419640032308,3,0,0,0,18
